tensor(0.1404, device='cuda:0')
tensor(0.1790, device='cuda:0')
tensor(0.1476, device='cuda:0')
tensor(0.1661, device='cuda:0')
tensor(0.2224, device='cuda:0')
tensor(0.1911, device='cuda:0')
tensor(0.1843, device='cuda:0')
tensor(0.1382, device='cuda:0')
tensor(0.1617, device='cuda:0')
tensor(0.1955, device='cuda:0')
tensor(0.1775, device='cuda:0')
tensor(0.1609, device='cuda:0')
tensor(0.1312, device='cuda:0')
tensor(0.1702, device='cuda:0')
tensor(0.1189, device='cuda:0')
tensor(0.1165, device='cuda:0')
tensor(0.1801, device='cuda:0')
tensor(0.1835, device='cuda:0')
tensor(0.1684, device='cuda:0')
tensor(0.1268, device='cuda:0')
tensor(0.1744, device='cuda:0')
tensor(0.1048, device='cuda:0')
tensor(0.1458, device='cuda:0')
tensor(0.1543, device='cuda:0')
tensor(0.1361, device='cuda:0')
tensor(0.1867, device='cuda:0')
tensor(0.1348, device='cuda:0')
tensor(0.2189, device='cuda:0')
tensor(0.1532, device='cuda:0')
tensor(0.1428, device='cuda:0')
tensor(0.1367, device='cuda:0')
tensor(0.1520, device='cuda:0')
tensor(0.2140, device='cuda:0')
tensor(0.1360, device='cuda:0')
tensor(0.1400, device='cuda:0')
tensor(0.1934, device='cuda:0')
tensor(0.2087, device='cuda:0')
tensor(0.2096, device='cuda:0')
tensor(0.1941, device='cuda:0')
tensor(0.1190, device='cuda:0')
tensor(0.1294, device='cuda:0')
tensor(0.1103, device='cuda:0')
tensor(0.1438, device='cuda:0')
tensor(0.1945, device='cuda:0')
tensor(0.1672, device='cuda:0')
tensor(0.1206, device='cuda:0')
tensor(0.1243, device='cuda:0')
tensor(0.1576, device='cuda:0')
tensor(0.1820, device='cuda:0')
tensor(0.1190, device='cuda:0')
tensor(0.1270, device='cuda:0')
tensor(0.1502, device='cuda:0')
tensor(0.1347, device='cuda:0')
tensor(0.1592, device='cuda:0')
tensor(0.1198, device='cuda:0')
tensor(0.1468, device='cuda:0')
tensor(0.2339, device='cuda:0')
tensor(0.1278, device='cuda:0')
tensor(0.1321, device='cuda:0')
tensor(0.1663, device='cuda:0')
tensor(0.1628, device='cuda:0')
tensor(0.1666, device='cuda:0')
tensor(0.1568, device='cuda:0')
tensor(0.1583, device='cuda:0')
tensor(0.1567, device='cuda:0')
tensor(0.1843, device='cuda:0')
tensor(0.1150, device='cuda:0')
tensor(0.1571, device='cuda:0')
tensor(0.1535, device='cuda:0')
tensor(0.1461, device='cuda:0')
tensor(0.1451, device='cuda:0')
tensor(0.1591, device='cuda:0')
tensor(0.1610, device='cuda:0')
tensor(0.1412, device='cuda:0')
tensor(0.1569, device='cuda:0')
tensor(0.1472, device='cuda:0')
tensor(0.1504, device='cuda:0')
tensor(0.1251, device='cuda:0')
tensor(0.1581, device='cuda:0')
tensor(0.1822, device='cuda:0')
tensor(0.1327, device='cuda:0')
tensor(0.1641, device='cuda:0')
tensor(0.1830, device='cuda:0')
tensor(0.1609, device='cuda:0')
tensor(0.1254, device='cuda:0')
tensor(0.1375, device='cuda:0')
tensor(0.1186, device='cuda:0')
tensor(0.1149, device='cuda:0')
tensor(0.1161, device='cuda:0')
tensor(0.2318, device='cuda:0')
tensor(0.2069, device='cuda:0')
tensor(0.1243, device='cuda:0')
tensor(0.1581, device='cuda:0')
tensor(0.1367, device='cuda:0')
tensor(0.1867, device='cuda:0')
tensor(0.1359, device='cuda:0')
tensor(0.1104, device='cuda:0')
tensor(0.1786, device='cuda:0')
tensor(0.1546, device='cuda:0')
tensor(0.1395, device='cuda:0')
tensor(0.1931, device='cuda:0')
tensor(0.1448, device='cuda:0')
tensor(0.1801, device='cuda:0')
tensor(0.1167, device='cuda:0')
tensor(0.0957, device='cuda:0')
tensor(0.1462, device='cuda:0')
tensor(0.1588, device='cuda:0')
tensor(0.1625, device='cuda:0')
tensor(0.1838, device='cuda:0')
tensor(0.1559, device='cuda:0')
tensor(0.1557, device='cuda:0')
tensor(0.1569, device='cuda:0')
tensor(0.1411, device='cuda:0')
tensor(0.1584, device='cuda:0')
tensor(0.1343, device='cuda:0')
tensor(0.1692, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.1408, device='cuda:0')
tensor(0.1813, device='cuda:0')
tensor(0.1859, device='cuda:0')
tensor(0.1412, device='cuda:0')
tensor(0.1299, device='cuda:0')
tensor(0.1309, device='cuda:0')
tensor(0.1655, device='cuda:0')
tensor(0.1086, device='cuda:0')
tensor(0.1361, device='cuda:0')
tensor(0.0984, device='cuda:0')
tensor(0.1664, device='cuda:0')
tensor(0.1379, device='cuda:0')
tensor(0.1653, device='cuda:0')
tensor(0.1029, device='cuda:0')
tensor(0.1250, device='cuda:0')
tensor(0.1480, device='cuda:0')
tensor(0.1321, device='cuda:0')
tensor(0.1230, device='cuda:0')
tensor(0.1230, device='cuda:0')
tensor(0.0889, device='cuda:0')
tensor(0.1137, device='cuda:0')
tensor(0.1041, device='cuda:0')
tensor(0.1385, device='cuda:0')
tensor(0.1460, device='cuda:0')
tensor(0.2285, device='cuda:0')
tensor(0.1760, device='cuda:0')
tensor(0.1213, device='cuda:0')
tensor(0.1772, device='cuda:0')
tensor(0.1612, device='cuda:0')
tensor(0.1609, device='cuda:0')
tensor(0.1332, device='cuda:0')
tensor(0.1650, device='cuda:0')
tensor(0.1718, device='cuda:0')
tensor(0.1360, device='cuda:0')
tensor(0.1600, device='cuda:0')
tensor(0.1946, device='cuda:0')
tensor(0.1362, device='cuda:0')
tensor(0.1012, device='cuda:0')
tensor(0.1127, device='cuda:0')
tensor(0.1269, device='cuda:0')
tensor(0.1375, device='cuda:0')
tensor(0.0922, device='cuda:0')
tensor(0.0970, device='cuda:0')
tensor(0.1699, device='cuda:0')
tensor(0.1074, device='cuda:0')
tensor(0.1649, device='cuda:0')
tensor(0.1251, device='cuda:0')
tensor(0.1150, device='cuda:0')
